Timestamp,Twist Linear,Twist Angular
"1609852695,251787996","x: -0.0184503025665
y: 0.0388090701153
z: 0.00178852281533","x: 0.0
y: 0.0
z: 0.0"
"1609852695,461453668","x: -0.000344521556526
y: 0.0190612152662
z: 0.0143065052107","x: 0.0
y: 0.0
z: 0.0"
"1609852695,643661815","x: 0.0139089458949
y: 0.00650480632802
z: 0.0508558191359","x: 0.0
y: 0.0
z: 0.0"
"1609852695,839378112","x: 0.0129883440812
y: 0.0134429979971
z: 0.00410175696015","x: 0.0
y: 0.0
z: 0.0"
"1609852696,87262176","x: -0.0112512354616
y: 0.0137392563926
z: -0.0404345169663","x: 0.0
y: 0.0
z: 0.0"
"1609852696,252351372","x: -0.03835099996
y: 0.0398937427303
z: -0.017221223563","x: 0.0
y: 0.0
z: 0.0"
"1609852696,475704441","x: -0.0399051121027
y: 0.0190977021382
z: -0.0173275899142","x: 0.0
y: 0.0
z: 0.0"
"1609852696,641955742","x: -0.041630138378
y: -0.0016399438091
z: 0.0146522223949","x: 0.0
y: 0.0
z: 0.0"
"1609852696,842808055","x: -0.0507336027336
y: 0.00665067931794
z: 0.0361415632069","x: 0.0
y: 0.0
z: 0.0"
"1609852697,84646588","x: -0.019134526925
y: -0.0140860696277
z: 0.0612420104444","x: 0.0
y: 0.0
z: 0.0"
"1609852697,244870781","x: 0.0431084874511
y: -0.0415094816138
z: 0.0742520168424","x: 0.0
y: 0.0
z: 0.0"
"1609852697,473901580","x: 0.0219740924102
y: -0.0811661482142
z: 0.0780917257071","x: 0.0
y: 0.0
z: 0.0"
"1609852697,646780388","x: -0.00326001814912
y: -0.0453687084195
z: 0.0489734634757","x: 0.0
y: 0.0
z: 0.0"
"1609852697,852018247","x: -0.0073336993438
y: -0.00472949377026
z: 0.0654642134905","x: 0.0
y: 0.0
z: 0.0"
"1609852698,98563945","x: 0.00766089450892
y: 0.0204720696695
z: 0.082707233727","x: 0.0
y: 0.0
z: 0.0"
"1609852698,252520724","x: 0.0257069543212
y: 0.0030828371302
z: 0.092846006155","x: 0.0
y: 0.0
z: 0.0"
